StoreName,StoreCode,ownerName,address1,address2,area,city,state,pincode,businessType,outletType,email,phoneNumber,latitude,longitude
Econsave Cash & Carry (BPJ) Sdn Bhd,E-BPJ,,"LOT PT 47155, JALAN KUALA KETIL,","BANDAR PUTERI JAYA,","SUNGAI PETANI, KEDAH.",SUNGAI PETANI,KEDAH,8000,Wholesale,12,sales@pmmahsuri.com.my,04-424 3241,5.622855301,100.5409963
Econsave Cash & Carry (BW) Sdn Bhd,E-BW,,"LOT 2446, 2447 & 2453, SECTION 4,","JALAN CHAIN FERRY,",PULAU PINANG.,BUTTERWORTH,PULAU PINANG,12700,Wholesale,12,sales@pmmahsuri.com.my,04-331 4135,5.399154101,100.3765135
ECONSAVE CASH & CARRY (BW) SDN BHD - TAMPIN,E-BWT,LAI SIA LING,ECONSAVE CASH & CARRY (BW) SDN BHD - TAMPIN,"PT 121, PT 122 & PT 328, TAMAN SRI INTAN,","TAMPIN, NEGERI SEMBILAN.",TAMPIN,NEGERI SEMBILAN,73000,Wholesale,12,sales@pmmahsuri.com.my,03-31670000,2.474924165,102.2213142
ECONSAVE CASH & CARRY (DC) SDN BHD,E-DC,,"LOT 60190, JALAN ARA 1,","TAMAN DESA CEMERLANG,","ULU TIRAM, JOHOR DARUL TAKZIM.",ULU TIRAM,JOHOR,81800,Wholesale,12,sales@pmmahsuri.com.my,07 - 8630 531 / 32,1.59075379,103.8991659
ECONSAVE CASH & CARRY (DJ) SDN BHD,E-DJ,,"LOT 37087,","TAMAN DAIMAN JAYA,	","KOTA TINGGI, JOHOR DARUL TAKZIM.",KOTA TINGGI,JOHOR,81900,Wholesale,12,sales@pmmahsuri.com.my,07-882 8050/51,1.718422103,103.8956198
ECONSAVE CASH & CARRY (EC) SDN BHD,E-EC,,"KOMPLEKS TAMAN SELERA TANJUNG,","JALAN SULTAN ZAINAL,","KUALA TERENGGANU, TERENGGANU.",KUALA TERENGGANU,TERENGGANU,20000,Wholesale,12,sales@pmmahsuri.com.my,,5.356489881,103.1800292
ECONSAVE CASH & CARRY (GB) SDN BHD-SAT OFF,E-GB,,"PTD 14738, PUSAT KOMERSIAL GAMBIR","JALAN GAMBIR 2, BANDAR BARU BUKIT GAMBIR","BUKIT GAMBIR, JOHOR",BUKIT GAMBIR,JOHOR,84800,Wholesale,12,sales@pmmahsuri.com.my,06- 9765841 / 42,2.212933184,102.6513516
ECONSAVE CASH & CARRY (JEB) SDN BHD,E-JEB,,"LOT 2665 & 2666,",MUKIM JERAM BATU,"PEKAN NANAS, JOHOR",PEKAN NANAS,JOHOR,81500,Wholesale,12,sales@pmmahsuri.com.my,07- 6994991 / 92,1.52470633,103.5929995
ECONSAVE CASH & CARRY (JK) SDN. BHD.,E-JK,,"NO. 1, JALAN BDJS 2, BLOK DAGANGAN,","JENGKA SEJAHTERA,","BANDAR TUN ABDUL RAZAK, JENGKA PAHANG.",JENGKA,PAHANG,26400,Wholesale,12,sales@pmmahsuri.com.my,,3.772145267,102.5721571
ECONSAVE CASH & CARRY (JW) SDN BHD,E-JW,,ECONSAVE CASH & CARRY (JW) SDN BHD,"LOT 326, MUKIM 7,","SEBERANG PERAI SELATAN, PULAU PINANG.",SEBERANG PERAI,PULAU PINANG,14300,Wholesale,12,sales@pmmahsuri.com.my,04-582 1562,5.208998766,100.5137138
ECONSAVE CASH & CARRY (KLU) SDN BHD,E-KLU,,LOT 1307 & 1308,JALAN MERSING KLUANG,KLUANG JOHOR DARUL TAKZIM,KLUANG,JOHOR,86000,Wholesale,12,sales@pmmahsuri.com.my,07 - 771 3056 / 57,2.035792878,103.3328342
ECONSAVE CASH & CARRY (KM) SDN BHD,E-KMS,ENCIK SHAMY,PTD 43282 (LOT 35123) JALAN,"ENAU 14, TAMAN TERATAI, MUKIM SENAI KULAI,","SKUDAI, JOHOR.",SKUDAI,JOHOR,81300,Wholesale,12,sales@pmmahsuri.com.my,019-337 4697,1.567055869,103.6127313
ECONSAVE CASH & CARRY (KM) SDN BHD,E-KM,,"NO.2, JALAN RUSA,","TAMAN SCIENTEX,","PASIR GUDANG, JOHOR DARUL TAKZIM",PASIR GUDANG,JOHOR,81700,Wholesale,12,sales@pmmahsuri.com.my,07-2891562,1.491899027,103.9123627
ECONSAVE CASH & CARRY (ML) SDN BHD *,E-ML,,1-15 JALAN PPM 3,PLAZA PANDAN MALIM BUSINESS PARK,"BALAI PANJANG, MELAKA",MALIM JAYA,MELAKA,75250,Wholesale,12,sales@pmmahsuri.com.my,06 - 335 3833,2.230711643,102.2274848
ECONSAVE CASH & CARRY (MU) SDN BHD,E-MU,,"LOT 2459, JALAN HAJI JAIB","MUKIM JALAN BAKRI,","MUAR, JOHOR DARUL TAKZIM",MUAR,JOHOR,84300,Wholesale,12,sales@pmmahsuri.com.my,06 - 954 6530 / 31,2.070783787,102.642238
ECONSAVE CASH & CARRY (NTH) SDN BHD,E-AH,,ECONSAVE CASH & CARRY (AH) SDN BHD,"BLOK 28, LEBUHRAYA THEIN TEIK,","AYER HITAM, PULAU PINANG.",AYER HITAM,PULAU PINANG,11060,Wholesale,12,sales@pmmahsuri.com.my,04-827 9231,5.385861072,100.2767723
ECONSAVE CASH & CARRY (PJ) SDN BHD,E-PJ,,"LOT 385, 2112 & 2114,","JALAN PERMAS UTARA 1, BANDAR PERMAS JAYA,","MASAI, JOHOR.",MASAI,JOHOR,81750,Wholesale,12,sales@pmmahsuri.com.my,07-386 4913,1.512067726,103.8169076
ECONSAVE CASH & CARRY (PP) SDN BHD,E-PP,,LOT PT 2980,JALAN PASIR PUTEH SENTRAL 1,"PASIR PUTEH, KELANTAN",PASIR PUTEH,KELANTAN,16800,Wholesale,12,sales@pmmahsuri.com.my,,5.831846474,102.4041291
ECONSAVE CASH & CARRY (PS) SDN. BHD.,E-PS.,,"NO 33, KOMPLEKS PERNIAGAAN SENA SENTRAL,","BANDAR POKOK SENA,","POKOK SENA, KEDAH DARUL AMAN.",POKOK SENA,KEDAH,6400,Wholesale,12,sales@pmmahsuri.com.my,,6.200808258,100.5470581
ECONSAVE CASH & CARRY (PT) SDN BHD,E-PT,,"NO.23, JALAN KOTA EMAS DUA","OFF TAMAN KOTA EMAS, JALAN JOHOR KANAN","PONTIAN, JOHOR",PONTIAN,JOHOR,82000,Wholesale,12,sales@pmmahsuri.com.my,07 - 686 3433 / 533,1.479623204,103.3980593
ECONSAVE CASH & CARRY (RU) SDN BHD,E-RU,,"NO.1, LORONG TERAS JAYA 6,","KAW PERNIAGAAN TERAS JAYA,","BUTTERWORTH, PULAU PINANG.",BUTTERWORTH,PULAU PINANG,13400,Wholesale,12,sales@pmmahsuri.com.my,04-324 7012,5.401283529,100.3800901
ECONSAVE CASH & CARRY (SG) SDN BHD,E-SG,,NO. 25-39,"JALAN SYED ABDUL KADIR,","SEGAMAT, JOHOR",SEGAMAT,JOHOR,85000,Wholesale,12,sales@pmmahsuri.com.my,07-931 7622,2.503588395,102.8259477
ECONSAVE CASH & CARRY (SK) SDN BHD,E-SK,,"LG FLOOR, SKUDAI PARADE, SHOPPING COMPLEX	","LOT 1100, JALAN SKUDAI BT 10	","SKUDAI,JOHOR		",SKUDAI,JOHOR,81300,Wholesale,12,sales@pmmahsuri.com.my,07 - 289 4533 / 633,1.542263614,103.6552624
ECONSAVE CASH & CARRY (SN) SDN BHD,E-SN,,"274-1, JALAN UTAMA",TAMAN BINTANG UTAMA,"SENAI,JOHOR DARUL TAKZIM		",SENAI,JOHOR,81400,Wholesale,12,sales@pmmahsuri.com.my,07 - 598 4069,1.612141141,103.6572144
ECONSAVE CASH & CARRY (SR) SDN BHD,E-SR,,"LOT 1209,",JALAN AIR HITAM,SIMPANG RENGAM JOHOR,SIMPANG RENNGAM,JOHOR,86200,Wholesale,12,sales@pmmahsuri.com.my,07-7559343 / 44,1.837135997,103.3071026
ECONSAVE CASH & CARRY (SU) SDN BHD *,E-SU,,"NO.29,JALAN KERAMBIT 3",BANDAR BARU SUNGAI UDANG,"SUNGAI UDANG, MELAKA",SUNGAI UDANG,MELAKA,76300,Wholesale,12,sales@pmmahsuri.com.my,06 - 351 7703 / 04,2.294969385,102.1420199
ECONSAVE CASH & CARRY (TD) SDN BHD,E-TD,,"LOT PTD 124006, JALAN NIPAH",TAMAN DAYA,"JOHOR BAHRU, JOHOR DARUL TAKZIM",JOHOR BAHRU,JOHOR,81100,Wholesale,12,sales@pmmahsuri.com.my,07 - 353 1600 / 01,1.545156597,103.7615954
Econsave Cash & Carry (TPJ) Sdn Bhd,E-TPJ,,"NO. 2-30, LORONG 16,","TYCOON SQUARE, TAMAN PETANI JAYA,","SG PETANI, KEDAH.",SUNGAI PETANI,KEDAH,8000,Wholesale,12,sales@pmmahsuri.com.my,04-423 9003,5.632452908,100.4904468
ECONSAVE CASH & CARRY (TPK) SDN BHD *,E-TPK,,"LOT 24513 & 24514,","TAMAN PUTRI KULAI,","KULAI, JOHOR.",KULAI,JOHOR,81000,Wholesale,12,sales@pmmahsuri.com.my,07-663 9835,1.658222842,103.5784323
ECONSAVE CASH & CARRY (TRI) SDN BHD,E-TRI,,"NO 2, JALAN SENTRAL TRIANG 10,","SENTRAL TRIANG, TRIANG,",PAHANG,BERA,PAHANG,28300,Wholesale,12,sales@pmmahsuri.com.my,,3.260630649,102.4383112
ECONSAVE CASH & CARRY (YP) SDN BHD,E-YP,,24-30 JALAN BAYAN,TAMAN SEMBERONG BARAT,"YONG PENG, JOHOR DARUL TAKZIM",YONG PENG,JOHOR,83700,Wholesale,12,sales@pmmahsuri.com.my,07-4677433 / 34,2.010622232,103.0671934
EDARAN S.A. AL HABSHEE SDN BHD - WARDA MART,M-5501,AMIZA,"NO.32 - 40, JALAN PADI EMAS 4/1",BANDAR BARU UDA,"TAMPOI, JOHOR BAHRU",JOHOR BAHRU,JOHOR,81200,Standalone,11,sales@pmmahsuri.com.my,07-2321226,1.498719877,103.7109216
EDARAN S.A.AL-HABSHEE S/B-MYDIN TAMAN RINTING HYPERMARKET-MON-SAT 9AM-5.30PM,M-TRH,MR. SUBRA & EN. NOR AZAHAR,"PTD 92368,","JALAN RINTING TAMAN RINTING,","MASAI, JOHOR.",MASAI,JOHOR,81750,Grocery,07,sales@pmmahsuri.com.my,07-232 7226,1.488490842,103.8648747
EIGHT ROAD RESTAURANT-deliver sebelum 12pm (angkat cheque),E033,WOO KAM YEEN,"NO.12A, JALAN KENARI 8,","PUSAT PUCHONG JAYA,",SELANGOR DARUL EHSAN.,PUCHONG,SELANGOR,47100,Standalone,11,sales@pmmahsuri.com.my,016-6768 556,3.04684,101.62288
EJH FOOD INDUSTRIES SDN BHD,E039,MR TAN,EJH FOOD INDUSTRIES SDN BHD,LOT 65 KAWASAN PERINDUSTRIAN SEMAMBU,KUANTAN PAHANG,KUANTAN,PAHANG,25350,Standalone,11,sales@pmmahsuri.com.my,017-921 2228,3.847332857,103.3314838
ELEN FRESH MART,E056,SATIISWARAN,"45, JALAN BANDAR SEREMBAN SELATAN 1/3A,","TAMAN SEREMBAN SELATAN,","SEREMBAN, N. SEMBILAN",SEREMBAN,NEGERI SEMBILAN,71450,Standalone,11,sales@pmmahsuri.com.my,010-2753695,2.6640302,101.9877915
ELIXIR IMPEX SDN. BHD. (Mon-Sat: 9am-6pm|Fri: 12pm-3pm),E053,P MARIAMMAL A/P S PONNUSAMY,"NO. 45,","JALAN IPOH BATU 17,","RAWANG, SELANGOR",RAWANG,SELANGOR,48000,Standalone,11,sales@pmmahsuri.com.my,018-2096971,3.305566,101.591379
EMPORIUM HOCK KEE SENG SDN BHD,E045,,"LOT 28550, JALAN GONG BADAK,",KAWASAN PERINDUSTRIAN GONG BADAK,KUALA TERENGGANU.,KUALA TERENGGANU,TERENGGANU,21300,Standalone,11,sales@pmmahsuri.com.my,09-6232 590,5.331701441,103.1398684
ENG HAN ENTERPRISE,E036,STEVEN TENG ,"352,353,354, JALAN MANIS 16,","TAMAN MANIS KELAPA SAWIT,","KULAI, JOHOR.",KULAI,JOHOR,81030,Standalone,11,sales@pmmahsuri.com.my,07-652 5040,1.681777662,103.52479
ENG HING LEONG MINI MARKET,E037,TAN GEE CHONG,ENG HING LEONG MINI MARKET,"NO.805, PEKAN BARU JUASSEH,","JUASSEH, NEGERI SEMBILAN.",JUASSEH,NEGERI SEMBILAN,72500,Standalone,11,sales@pmmahsuri.com.my,011-2609 6086,2.786565,102.299326
ENG HOE MINI MARKET - Friday close,E043,TAN KIEN CHUI,"A702 TAMAN MOHD NOOR YUSOF,",JALAN AIR PUITH KEMAMAN,CHUKAI TERENGGANU,KEMAMAN,TERENGGANU,24000,Standalone,11,sales@pmmahsuri.com.my,09-8585226,4.237819171,103.4124729
ENG HONG (JLN. GAMBANG) SDN BHD (Sunday delivery need to inform Mr Goh),E034,ALEX CHOY (019-982 4468),"NO A1, LORONG SERI DAMAI PERDANA 57,","BATU 6, JLN GAMBANG,","KUANTAN, PAHANG DARUL MAKMUR.",KUANTAN,PAHANG,25150,Standalone,11,sales@pmmahsuri.com.my,09-536 4431,3.769790035,103.2473429
ENG HONG MART (SG. KARANG) SDN BHD,E038,KONG,ENG HONG MART (SG. KARANG) SDN BHD,"LOT 1474 KAMPONG BALOK,",KUANTAN PAHANG.,KUANTAN,PAHANG,26100,Standalone,11,sales@pmmahsuri.com.my,09-583 5117,3.936692891,103.3762835
ENG HUP SENG SESAME OIL & SAUCE FACTORY SDN BHD-DELIVER BY FORKLIFT,E041,MS.CHAN,"AL 97, LOT 2781,","JALAN KAMPUNG BARU, SUNGAI BULOH",SELANGOR DARUL EHSAN.,SUNGAI BULOH,SELANGOR,47000,Standalone,11,sales@pmmahsuri.com.my,,3.188169,101.572788
ENG SIANG GROCER (Mon: Close|Loading at 9.30am-7.30pm),E052,LIM CHEE WENG,"NO. 4142,","JALAN PERKHIDMATAN KAMPUNG BARU,","SUNGAI BULOH, SELANGOR",SUNGAI BULOH,SELANGOR,47000,Grocery,07,sales@pmmahsuri.com.my,011-26060626,3.1968201,101.5667535
ENG TA TRADING (MON-FRI 8.30AM-6PM)(SAT 8.30AM-4PM),E048,MICHELLE/MS. CHUA,NO. 53,JALAN BUKIT KAPAR,"KAPAR, SELANGOR (PLEASE CALL BEFORE DELIVERY)",KLANG,SELANGOR,42200,Standalone,11,sales@pmmahsuri.com.my,016-3315959,3.128942,101.465071
ETA MM ENTERPRISE,E055,MASITA,"NO. 1,","KEDAI SIMPANG KUALA REMBANG PANAS,","JUASSEH, NEGERI SEMBILAN",JUASSEH,NEGERI SEMBILAN,72500,Standalone,11,sales@pmmahsuri.com.my,019-3781016,2.7902305,102.2932903
EUHUP ENTERPRISE,E042,EU FONG CHUAN,"83A, BUKIT PELANDOK,","KG.CINA,","PORT DICKSON , NEGERI SEMBILAN.",PORT DICKSON,NEGERI SEMBILAN,71960,Standalone,11,sales@pmmahsuri.com.my,012-6010992,2.647971,101.751191
FADILA UNGGUL ENTERPRISE,F062,MOHAMAD ALIF,"NO16, JALAN TJ 3/2, SENAWANG LINK,","KAWASAN INDUSTRI TUANKU JAAFAR 3,","SENAWANG, NEGERI SEMBILAN.",SENAWANG,NEGERI SEMBILAN,71450,Standalone,11,sales@pmmahsuri.com.my,,2.662316,102.007342
FADZILLAH BINTI A AZIZ,F091,,"NO. 143 B, LORONG PADI ANAK DARA,","KG. SUNGAI BULUH, SIMPANG DURIAN,","SIMPANG DURIAN, N. SEMBILAN",SIMPANG DURIAN,NEGERI SEMBILAN,72400,Standalone,11,sales@pmmahsuri.com.my,017-3738840,2.9473873,102.4926511
FALAM ENTERPRISE (PASAR MINI SIRAJANE),F010,FEROZALAM,"NO.31, JALAN TSB 10A,","TAMAN INDUSTRI SG BULOH,",SELANGOR.,SUNGAI BULOH,SELANGOR,47000,Standalone,11,sales@pmmahsuri.com.my,019-2212117,3.1673444,101.5674932
FAMA CORPORATION SDN. BHD. - AGROBAZAAR SENDAYAN (Mon-Fri|Sat: Half day|Sun close),F087,PAUZI,"NO. 1275 & 1276-G,","JALAN SURIAMAN BIZ 1,","BANDAR SRI SENDAYAN, N. SEMBILAN",SENDAYAN,NEGERI SEMBILAN,71950,Standalone,11,sales@pmmahsuri.com.my,018-3583404,2.6994621,101.8586484
FANAAS BISTRO (Restoran Alinas-Prima Beruntung),F058,MOHAMED,"2G,JALAN MAWAR 2A,","PRIMA BERUNTUNG,",RAWANG SELANGOR.,RAWANG,SELANGOR,48000,Standalone,11,sales@pmmahsuri.com.my,010-211 3785,3.392907,101.552295
FATIMAH HASSAN ULLAH ENTERPRISE,F068,HASSAN,"NO.75(G) JALAN METRO SENDAYAN 1/4,",SENDAYAN METROPARK,"BANDAR SRI SENDAYAN,NEGERI SEMBILAN",SENDAYAN,NEGERI SEMBILAN,71950,Standalone,11,sales@pmmahsuri.com.my,01137275464,2.6866853,101.846048
FIRST ORCHID SDN BHD (MAHKOTA HOTEL MELAKA),F065,KAREN TAN,"LEVEL 14, LION OFFICE TOWER,","NO. 1 JALAN NAGASARI,",KUALA LUMPUR,KL TOWN,KUALA LUMPUR,50200,Standalone,11,sales@pmmahsuri.com.my,,2.18642736,102.2504714
FK SALMA ENTERPRISE,F063,MASUD,"LOT 2758,","KG BARU SG BULOH,","SG BULOH, SELANGOR",SUNGAI BULOH,SELANGOR,47000,Standalone,11,sales@pmmahsuri.com.my,,3.1905493,101.565561
FLT TRADING,F069,MR.TIONG,"NO.4 ,","JALAN HAIWAN BUKIT PELANDOK,","PORT DICKSON, NEGERI SEMBILAN.",PORT DICKSON,NEGERI SEMBILAN,71960,Standalone,11,sales@pmmahsuri.com.my,012-683 2372,2.654825,101.751895
FM COLLECTION SDN BHD,F060,ALLEN,"PT 32804,","JALAN DELIMA NILAI 3,",NILAI NS.,NILAI,NEGERI SEMBILAN,71800,Standalone,11,sales@pmmahsuri.com.my,,2.853037,101.812113
FOOD FARM SDN. BHD.,F078,NURUL NUHA,NO 262 JALAN NILAI 3/21,NILAI 3,"NILAI, N. SEMBILAN",NILAI,NEGERI SEMBILAN,71800,Standalone,11,sales@pmmahsuri.com.my,06-7941200,2.849691,101.813525
FOOK LYE SON TRADING,F002,,"NO.14, TINGKAT BAWAH,","TAMAN TERATAI,","SITIAWAN, PERAK",SITIAWAN,PERAK,32000,Standalone,11,sales@pmmahsuri.com.my,012-5556505,4.2170092,100.6970882
FOOK XIN TANG HERBS SDN. BHD.,F090,,"NO. 1-30A, JALAN DESA 1/3,","DESA AMAN PURI,","KEPONG, K. LUMPUR",KEPONG,KUALA LUMPUR,52100,Standalone,11,sales@pmmahsuri.com.my,016-5923928,3.212526,101.615695
FOOK XIN TANG MINI MARKET SDN. BHD. (After 5pm: NO DELIVERY),F085,,"NO. 1-3A, JALAN DESA 1/5,","DESA AMAN PURI, KEPONG,",KUALA LUMPUR,KEPONG,KUALA LUMPUR,52100,Standalone,11,sales@pmmahsuri.com.my,016-6881185,3.212246,101.615597
FOONG YUEN DIM SUM SDN BHD,F056,TIOW CHAI HUI,"364 & 365, JALAN 20,","TAMAN PERINDUSTRIAN EHSAN JAYA,","KEPONG, KUALA LUMPUR.",KEPONG,KUALA LUMPUR,52100,Standalone,11,sales@pmmahsuri.com.my,016-205 7582,3.210003,101.6172518
FORTRESS AVENUE SDN BHD(88 Sp mart),F064,CHEN KER LIN,"NO.41,JALAN 33/154,","TAMAN BUKIT ANGGERIK,","JALAN CHERAS, KUALA LUMPUR",CHERAS,KUALA LUMPUR,56000,Standalone,11,sales@pmmahsuri.com.my,,3.058429,101.749406
FROZEN KEN SDN. BHD.,F088,,"NO. 36, 37 & 38,","JALAN KAJANG PERDANA 3,","KAJANG, SELANGOR",KAJANG,SELANGOR,43000,Standalone,11,sales@pmmahsuri.com.my,012-5176068,2.991688,101.818101
FS NUSANTARA MART (Friday: 12pm-3pm close),F081,MOHAMAD SALEHUDDIN BIN MEHAT,"NO. 1, JALAN MATAHARI Z U5/Z,","SEKSYEN U5,","SHAH ALAM, SELANGOR",SHAH ALAM,SELANGOR,40150,Standalone,11,sales@pmmahsuri.com.my,011-39114200,3.035008,101.593601
FU MI TRADING (Mon-Sat: 8.30am-6pm),F086,,"A-1-11, PANGSAPURI MEGA INDAH JALAN MEGA,","TAMAN MEGA JAYA,","K. LUMPUR, WILAYAH PERSEKUTUAN",TAMAN MEGA,KUALA LUMPUR,56100,Standalone,11,sales@pmmahsuri.com.my,016-9013522,3.077938,101.611086
G PLUS CONVENIENCE STORE (Open everyday 7:30AM-2.00AM) (Tuesday 4pm onward),G035,GOH KOAY FERN,"NO. 11, JALAN MP16,","TAMAN MERDEKA PERMAI,",MELAKA.,BATU BERENDAM,MELAKA,75350,Standalone,11,sales@pmmahsuri.com.my,016-232 4225,2.256400051,102.2505753
G.U.S. (SUNGAI PELEK) SDN BHD,G005,NG YEW MING,"NO.18,19 & 20,","JALAN BESAR, SG. PELEK,","SEPANG, SELANGOR.",SEPANG,SELANGOR,43950,Standalone,11,sales@pmmahsuri.com.my,03-31413007,2.6406676,101.7141079
GAJA STORE PLT (Mon-Sat: 9am-7pm),G068,MUTHU KRISHNAN,"NO. 88G, JALAN BPU 1,","BANDAR PUCHONG UTAMA,","PUCHONG, SELANGOR",PUCHONG,SELANGOR,47100,Standalone,11,sales@pmmahsuri.com.my,017-3819041,2.995582,101.621139
GAN HOCK HIN TRADING SDN BHD-SAT & SUN CLOSE,G012,GAN HOCK HIN,"NO.421 / 8487 (BAWAH), TAMAN BUKIT CHEDANG,","70300 SEREMBAN,",NEGERI SEMBILAN,SEREMBAN,NEGERI SEMBILAN,72100,Standalone,11,sales@pmmahsuri.com.my,016-6617478,2.6960601,101.9285684
GAN HOCK LAM,G031,GAN HOCK LAM,GAN HOCK LAM,"PT 449/8487, TAMAN BUKIT CHEDANG,","SEREMBAN, NEGERI SEMBILAN.",SEREMBAN,NEGERI SEMBILAN,70300,Standalone,11,sales@pmmahsuri.com.my,011-1191 4244,2.695362,101.929559
GAN HUP HUAT SDN BHD,G020,MR. GAN SIONG BOON,"89-A, JALAN HANG LI POH,","BUKIT CINA,",MALACCA.,BANDAR HILIR,MELAKA,73100,Standalone,11,sales@pmmahsuri.com.my,06-284 6860,2.198778,102.255933
GARDENS FRESH MARKET (SMALL LORRY),G037,GUEE MICHELLE,"G-12, G-11 PANGSAPURI LAKSAMANA 1,","JALAN THAMBY ABDULLAH,","BANDAR HILIR, MELAKA",BANDAR HILIR,MELAKA,75000,Standalone,11,sales@pmmahsuri.com.my,,2.191554055,102.2605726
GAURANGA PURE VEGE HOUSE,G079,,"NO. 3382, JALAN RJ 6/2,","TAMAN RASAH JAYA,","SEREMBAN, N. SEMBILAN",SEREMBAN,NEGERI SEMBILAN,70300,Standalone,11,sales@pmmahsuri.com.my,014-3856277,2.6801935,101.9479377
GAYA BUMI ENTERPRISE (Mon-Sat: 9am-6pm),G064,BABU A/L SHAMUGAM,"NO 3, JALAN SUNGAI KERAMAT 9/KU6,","TAMAN KLANG UTAMA,","KLANG, SELANGOR",KLANG,SELANGOR,42100,Standalone,11,sales@pmmahsuri.com.my,012-2868143,3.129132,101.465112
GCH RETAIL (MALAYSIA) SDN BHD - GIANT SUPERSTORE JERTEH *FRIDAY HOLIDAY,G-1207,,"PN9196, LOT NO.6000,","PEKAN JERTIH, DAERAH BESUT JERTEH,",TERENGGANU.,JERTEH,TERENGGANU,22010,Grocery,07,sales@pmmahsuri.com.my,,5.734949771,102.4976912
GCH RETAIL (MALAYSIA) SDN BHD - GIANT SUPERSTORE TUNJUNG,G-1209,,HS(D) 10170 PT 1310,"MUKIM KOTA, BANDAR BARU TUNJONG",KELANTAN,TUNJONG,KELANTAN,16010,Grocery,07,sales@pmmahsuri.com.my,,6.075036828,102.2342009
GCH RETAIL (MALAYSIA) SDN BHD- (KUANTAN) SUPERSTORE FRIDAY HOLIDAY,G-1018,,"LOT 5197, JALAN TANAH PUTIH",SEKSYEN 124 MUKIM KUALA KUANTAN,KUANTAN,KUANTAN,PAHANG,99999,Grocery,07,sales@pmmahsuri.com.my,,3.791768451,103.3107151
GCH RETAIL (MALAYSIA) SDN BHD- GIANT HYPERMARKET ( PLENTONG JB ),G-1006,,"NO.3, JALAN MASAI LAMA",MUKIM PLENTONG,MASAI JOHOR BAHRU,JOHOR BAHRU,JOHOR,81750,Grocery,07,sales@pmmahsuri.com.my,,1.528217974,103.8151091
GCH RETAIL (MALAYSIA) SDN BHD- GONG BADAK SUPERSTORE FRIDAY HOLIDAY,G-1195,,"LOT 22051, JALAN SEMARAK, MUKIM KUALA NERUS",KUALA TERENGGANU,TERENGGANU DARUL IMAN,KUALA TERENGGANU,TERENGGANU,21300,Grocery,07,sales@pmmahsuri.com.my,,5.351013783,103.1017863
GCH RETAIL (MALAYSIA) SDN BHD- KIJAL SUPERSTORE FRIDAY HOLIDAY,G-1166,,"KIJAL MALL, NO 4 PRIMA DAGANG,",BANDAR BARU KIJAL,"KEMAMAN, TERENGGANU",KEMAMAN,TERENGGANU,24100,Grocery,07,sales@pmmahsuri.com.my,,4.336747889,103.4558434
GCH RETAIL (MALAYSIA) SDN BHD- KUALA TERENGGANU HYPERMARKET FRIDAY HOLIDAY,G-1102,,"H.S(D) 6917, LOT PT 1485",MUKIM CABANG TIGA,DISTRICT OF KUALA TERENGGANU KUALA TERENGGANU,KUALA TERENGGANU,TERENGGANU,99999,Grocery,07,sales@pmmahsuri.com.my,,5.311063385,103.1284257
GCH RETAIL (MALAYSIA) SDN BHD- KUANTAN MEGAMALL SUPERMARKET FRIDAY HOLIDAY,G-1139,,LOT B-12 LG FLOOR BERJAYA MEGAMALL,JALAN TUN ISMAIL,KUANTAN,KUANTAN,PAHANG,25000,Grocery,07,sales@pmmahsuri.com.my,,3.816303343,103.3321029
GCH RETAIL (MALAYSIA) SDN BHD-(MESRA MALL) *FRIDAY HOLIDAY,G-1129,,LOT AT1 & AT2,"GROUND FLOOR MESRA MALL, DAERAH KEMAMAN",TERENGGANU.,KEMAMAN,TERENGGANU,24300,Grocery,07,sales@pmmahsuri.com.my,,4.440724838,103.4484423
GCH RETAIL (MALAYSIA) SDN BHD-SOUTHERN CITY,G-1077,,"GROUND FLOOR, SOUTHERN CITY,","NO.3, JALAN SURIA 19, TAMAN SURIA,",JOHOR BARU.,JOHOR BAHRU,JOHOR,"81100,",Grocery,07,sales@pmmahsuri.com.my,,1.507547642,103.7706903
GCH RETAIL (MALAYSIA) SDN BHD-TAMPOI,G-1017,,"LOT 54,","JALAN SKUDAI,",TAMPOI JOHOR,TAMPOI,JOHOR,81200,Grocery,07,sales@pmmahsuri.com.my,,1.499626726,103.7009418
GEDUNG ENG HONG (PEKAN) SDN BHD,G021,YAP KUM SWEE,GEDUNG ENG HONG (PEKAN) SDN BHD,"LOT 2233, KAWASAN PERINDUSTRIAN PERAMU,","PEKAN, PAHANG DARUL MAKMUR.",PEKAN,PAHANG,26600,Standalone,11,sales@pmmahsuri.com.my,09-426 6163,3.541521817,103.3942997
GENTING GOLF COURSE BHD,G033,,GENTING MALAYSIA BERHAD,"GENTING HIGHLAND,","PAHANG DARUL MAKMUR, MALAYSIA.",GENTING HIGHLAND,PAHANG,,Standalone,11,sales@pmmahsuri.com.my,,3.396671266,101.7801231
GENTING MALAYSIA BERHAD,G032,SAMMIE YEOH,GENTING MALAYSIA BERHAD,"GENTING HIGHLAND,","PAHANG DARUL MAKMUR, MALAYSIA.",GENTING HIGHLAND,PAHANG,69000,Standalone,11,sales@pmmahsuri.com.my,012-386 0281,3.396671266,101.7801231
